,FECHA_TRANSACCION,DISPOSITIVO,HORA,DIFERENCIA
18078,2024-04-20,10000547,18:41:18,18.0
18079,2024-04-20,10000547,18:41:21,3.0
18080,2024-04-20,10000547,18:41:24,3.0
18081,2024-04-20,10000547,18:41:47,23.0
18082,2024-04-20,10000547,18:41:55,8.0
18083,2024-04-20,10000547,18:42:31,36.0
18084,2024-04-20,10000547,18:43:16,45.0
18085,2024-04-20,10000547,18:43:24,8.0
18086,2024-04-20,10000547,18:44:11,47.0
18087,2024-04-20,10000547,18:44:23,12.0
18088,2024-04-20,10000547,18:44:42,19.0
18089,2024-04-20,10000547,18:44:46,4.0
18090,2024-04-20,10001648,16:04:13,124.0
18091,2024-04-20,10001648,16:04:51,38.0
18092,2024-04-20,10001648,16:05:02,11.0
18093,2024-04-20,10001648,16:05:05,3.0
18094,2024-04-20,10001648,16:05:09,4.0
18095,2024-04-20,10001648,16:05:45,36.0
18096,2024-04-20,10001648,16:06:28,43.0
18097,2024-04-20,10001648,16:06:33,5.0
18098,2024-04-20,10001648,16:07:20,47.0
18099,2024-04-20,10001648,16:07:23,3.0
18100,2024-04-20,10001648,16:07:32,9.0
18101,2024-04-20,10001648,16:07:42,10.0
18102,2024-04-20,10001648,16:09:43,121.0
18103,2024-04-20,10001648,16:10:56,73.0
18104,2024-04-20,10001648,16:11:01,5.0
18105,2024-04-20,10001648,16:12:58,117.0
18106,2024-04-20,10001648,16:13:03,5.0
18107,2024-04-20,10001648,16:13:38,35.0
18108,2024-04-20,10001648,16:15:00,82.0
18109,2024-04-20,10001648,16:15:34,34.0
18110,2024-04-20,10001648,16:19:51,257.0
18111,2024-04-20,10001648,16:20:05,14.0
18112,2024-04-20,10001648,16:24:55,290.0
18113,2024-04-20,10001648,16:27:01,126.0
18114,2024-04-20,10001648,16:27:10,9.0
18115,2024-04-20,10001648,16:27:13,3.0
18116,2024-04-20,10001648,16:27:16,3.0
18117,2024-04-20,10001648,16:27:21,5.0
18118,2024-04-20,10001648,16:28:08,47.0
18119,2024-04-20,10001648,16:28:40,32.0
18120,2024-04-20,10001648,16:28:49,9.0
18121,2024-04-20,10001648,16:28:52,3.0
18122,2024-04-20,10001648,16:29:21,29.0
18123,2024-04-20,10001648,16:29:27,6.0
18124,2024-04-20,10001648,16:30:49,82.0
18125,2024-04-20,10001648,16:33:50,181.0
18126,2024-04-20,10001648,16:34:03,13.0
18127,2024-04-20,10001648,16:36:25,142.0
18128,2024-04-20,10001648,16:36:34,9.0
18129,2024-04-20,10001648,16:36:42,8.0
18130,2024-04-20,10001648,16:36:46,4.0
18131,2024-04-20,10001648,16:37:35,49.0
18132,2024-04-20,10001648,16:37:44,9.0
18133,2024-04-20,10001648,16:37:49,5.0
18134,2024-04-20,10001648,16:39:35,106.0
18135,2024-04-20,10001648,16:40:01,26.0
18136,2024-04-20,10001648,16:43:15,194.0
18137,2024-04-20,10001648,16:43:38,23.0
18138,2024-04-20,10001648,16:43:45,7.0
18139,2024-04-20,10001648,16:44:57,72.0
18140,2024-04-20,10001648,16:45:03,6.0
18141,2024-04-20,10001648,16:45:22,19.0
18142,2024-04-20,10001648,16:47:55,153.0
18143,2024-04-20,10001648,16:48:22,27.0
18144,2024-04-20,10001648,16:48:52,30.0
18145,2024-04-20,10001648,16:48:56,4.0
18146,2024-04-20,10001648,16:50:33,97.0
18147,2024-04-20,10001648,16:51:13,40.0
18148,2024-04-20,10001648,16:52:19,66.0
18149,2024-04-20,10001648,16:52:41,22.0
18150,2024-04-20,10001648,16:53:56,75.0
18151,2024-04-20,10001648,16:54:16,20.0
18152,2024-04-20,10001648,16:54:28,12.0
18153,2024-04-20,10001648,16:57:28,180.0
18154,2024-04-20,10001648,16:57:58,30.0
18155,2024-04-20,10001648,16:58:31,33.0
18156,2024-04-20,10001648,16:58:48,17.0
18157,2024-04-20,10001648,17:05:59,431.0
18158,2024-04-20,10001648,17:06:31,32.0
18159,2024-04-20,10001648,17:07:32,61.0
18160,2024-04-20,10001648,17:08:20,48.0
18161,2024-04-20,10001648,17:08:35,15.0
18162,2024-04-20,10001648,17:08:42,7.0
18163,2024-04-20,10001648,17:09:13,31.0
18164,2024-04-20,10001648,17:09:18,5.0
18165,2024-04-20,10001648,17:11:36,138.0
18166,2024-04-20,10001648,17:12:04,28.0
18167,2024-04-20,10001648,17:12:09,5.0
18168,2024-04-20,10001648,17:14:17,128.0
18169,2024-04-20,10001648,17:15:06,49.0
18170,2024-04-20,10001648,17:15:23,17.0
18171,2024-04-20,10001648,17:15:45,22.0
18172,2024-04-20,10001648,17:15:57,12.0
18173,2024-04-20,10001648,17:16:20,23.0
18174,2024-04-20,10001648,17:16:26,6.0
18175,2024-04-20,10001648,17:16:32,6.0
18176,2024-04-20,10001648,17:16:36,4.0
18177,2024-04-20,10001648,17:16:47,11.0
18178,2024-04-20,10001648,17:16:51,4.0
18179,2024-04-20,10001648,17:16:59,8.0
18180,2024-04-20,10001648,17:17:19,20.0
18181,2024-04-20,10001648,17:17:22,3.0
18182,2024-04-20,10001648,17:18:18,56.0
18183,2024-04-20,10001648,17:18:22,4.0
18184,2024-04-20,10001648,17:19:11,49.0
18185,2024-04-20,10001648,17:19:40,29.0
18186,2024-04-20,10001648,17:20:26,46.0
18187,2024-04-20,10001648,17:20:46,20.0
18188,2024-04-20,10001648,17:20:52,6.0
18189,2024-04-20,10001648,17:21:00,8.0
18190,2024-04-20,10001648,17:21:10,10.0
18191,2024-04-20,10001648,17:21:34,24.0
18192,2024-04-20,10001648,17:23:53,139.0
18193,2024-04-20,10001648,17:24:07,14.0
18194,2024-04-20,10001648,17:27:05,178.0
18195,2024-04-20,10001648,17:28:56,111.0
18196,2024-04-20,10001648,17:29:59,63.0
18197,2024-04-20,10001648,17:30:50,51.0
18198,2024-04-20,10001648,17:31:47,57.0
18199,2024-04-20,10001648,17:32:18,31.0
18200,2024-04-20,10001648,17:32:51,33.0
18201,2024-04-20,10001648,17:34:25,94.0
18202,2024-04-20,10001648,17:35:40,75.0
18203,2024-04-20,10001648,17:36:06,26.0
18204,2024-04-20,10001648,17:36:11,5.0
